week_start,region,orders,sales_amount,active_customers,new_customers,churned_customers,ad_cost
2025-11-03,nagoya,210,1082403,3611,51,14,264083
2025-11-03,fukuoka,157,836076,2885,36,10,162476
2025-11-10,tokyo,463,2442895,8849,111,38,539013
2025-11-10,osaka,315,1687070,5458,74,22,321307
2025-11-10,nagoya,191,989361,3648,37,12,189730
2025-11-10,fukuoka,154,822293,2911,33,11,147444
2025-11-17,tokyo,520,2660029,8922,124,34,612930
2025-11-17,osaka,298,1534976,5510,61,22,311186
2025-11-17,nagoya,200,1038802,3673,39,14,177667
2025-11-17,fukuoka,167,886421,2933,36,13,175227
2025-11-24,tokyo,478,2392216,9012,107,32,470124
2025-11-24,osaka,289,1512597,5549,69,22,318899
2025-11-24,nagoya,213,1117689,3698,49,12,241300
2025-11-24,fukuoka,171,871357,2956,34,10,153312
2025-12-01,tokyo,614,3161786,9087,128,36,674306
2025-12-01,osaka,370,1870276,5596,74,25,320862
2025-12-01,nagoya,230,1191148,3735,51,13,250300
2025-12-01,fukuoka,201,1055967,2980,40,12,197093
2025-12-08,tokyo,622,3153095,9179,139,35,624254
2025-12-08,osaka,387,1990370,5645,87,22,456304
2025-12-08,nagoya,251,1262856,3773,54,13,266066
2025-12-08,fukuoka,192,1013510,3008,38,12,176198
2025-12-15,tokyo,618,3246210,9283,139,42,606934
2025-12-15,osaka,381,2005202,5710,74,24,325857
2025-12-15,nagoya,259,1312042,3814,56,13,268261
2025-12-15,fukuoka,189,959795,3034,41,12,195642
2025-12-22,tokyo,621,3271002,9380,129,40,646354
2025-12-22,osaka,396,2114300,5760,96,23,478675
2025-12-22,nagoya,232,1200831,3857,55,17,269014
2025-12-22,fukuoka,199,1070369,3063,45,13,237352
2025-12-29,tokyo,627,3380638,9469,135,36,605579
2025-12-29,osaka,351,1788339,5833,76,22,371285
2025-12-29,nagoya,231,1229327,3895,48,13,251388
2025-12-29,fukuoka,213,1108544,3095,42,10,193488
2026-01-05,tokyo,430,2213918,9568,104,33,530736
2026-01-05,osaka,252,1336275,5887,51,25,261821
2026-01-05,nagoya,172,888189,3930,39,17,178190
2026-01-05,fukuoka,140,699091,3127,31,13,154618
2026-01-12,tokyo,411,2106820,9639,96,35,436597
2026-01-12,osaka,249,1296939,5913,59,22,304938
2026-01-12,nagoya,161,810820,3952,35,15,177387
2026-01-12,fukuoka,145,777971,3145,35,13,153183
2026-01-19,tokyo,413,2122149,9700,94,44,453817
2026-01-19,osaka,276,1377919,5950,57,23,254404
2026-01-19,nagoya,161,854727,3972,39,15,193265
2026-01-19,fukuoka,138,707013,3167,33,12,145848
2026-01-26,tokyo,421,2243460,9750,99,40,475484
2026-01-26,osaka,265,1401501,5984,51,25,250945
2026-01-26,nagoya,165,848497,3996,40,16,184257
2026-01-26,fukuoka,139,712628,3188,33,11,167251
2026-02-02,tokyo,411,2194416,9809,93,36,422253
2026-02-02,osaka,243,1289058,6010,47,23,215113
2026-02-02,nagoya,166,860631,4020,32,13,162003
2026-02-02,fukuoka,137,721375,3210,32,11,162355
2026-02-09,tokyo,401,2166632,9866,86,39,1298940
2026-02-09,osaka,234,1258815,6034,54,21,810110
2026-02-09,nagoya,170,916016,4039,41,15,613641
2026-02-09,fukuoka,134,707731,3231,30,13,454983
2026-02-16,tokyo,381,2000712,9913,75,41,1063842
2026-02-16,osaka,239,1234313,6067,56,23,799474
2026-02-16,nagoya,174,897754,4065,38,17,528143
2026-02-16,fukuoka,137,740137,3248,28,11,387100
2026-02-23,tokyo,394,2127790,9947,91,39,400124
2026-02-23,osaka,260,1394898,6100,52,25,240875
2026-02-23,nagoya,155,814791,4086,30,14,141046
2026-02-23,fukuoka,128,643060,3265,29,14,126692
2026-03-02,tokyo,464,2346114,9999,98,45,514101
2026-03-02,osaka,284,1434332,6127,65,26,336806
2026-03-02,nagoya,201,1028851,4102,46,18,216077
2026-03-02,fukuoka,153,792829,3280,37,13,179067
2026-03-09,tokyo,496,2570959,10052,109,40,495576
2026-03-09,osaka,309,1590454,6166,73,23,361125
2026-03-09,nagoya,203,1034254,4130,47,15,219192
2026-03-09,fukuoka,152,767008,3304,35,14,182064
2026-03-16,tokyo,505,2592865,10121,114,39,548210
2026-03-16,osaka,290,1535508,6216,57,28,289729
2026-03-16,nagoya,199,1000505,4162,44,18,226230
2026-03-16,fukuoka,172,884825,3325,41,14,213918
2026-03-23,tokyo,501,2628460,10196,107,43,503342
2026-03-23,osaka,322,1622255,6245,73,24,379189
2026-03-23,nagoya,215,1114483,4188,49,18,226763
2026-03-23,fukuoka,159,825144,3352,34,15,152120
2026-03-30,tokyo,482,2490630,10260,106,41,544923
2026-03-30,osaka,321,1628473,6294,68,27,358483
2026-03-30,nagoya,193,986540,4219,43,19,202086
2026-03-30,fukuoka,152,804309,3371,33,14,166519
2026-04-06,tokyo,436,2246578,10325,107,40,536312
2026-04-06,osaka,294,1580998,6335,63,22,294975
2026-04-06,nagoya,198,1030775,4243,43,16,208494
2026-04-06,fukuoka,148,785830,3390,34,15,159306
2026-04-13,tokyo,488,2467901,10392,95,36,455489
2026-04-13,osaka,269,1411357,6376,53,24,244354
2026-04-13,nagoya,181,945107,4270,35,18,153154
2026-04-13,fukuoka,153,781996,3409,33,15,164476
2026-04-20,tokyo,475,2440187,10451,93,37,465882
2026-04-20,osaka,288,1541217,6405,60,23,304004
2026-04-20,nagoya,185,931590,4287,41,19,215351
2026-04-20,fukuoka,147,736483,3427,36,13,158333
2026-04-27,tokyo,490,2560289,10507,103,37,484054
2026-04-27,osaka,292,1530887,6442,67,27,345601
2026-04-27,nagoya,197,1002753,4309,41,15,189700
2026-04-27,fukuoka,150,806713,3450,32,15,140307
2026-05-04,tokyo,483,2545102,10573,103,100,473038
2026-05-04,osaka,289,1504215,6482,71,28,365603
2026-05-04,nagoya,195,974137,4335,44,18,231026
2026-05-04,fukuoka,148,743001,3467,34,14,161384
2026-05-11,tokyo,503,2633858,10576,112,100,555144
2026-05-11,osaka,287,1528035,6525,65,25,341795
2026-05-11,nagoya,196,1016391,4361,40,17,190544
2026-05-11,fukuoka,149,779282,3487,33,13,159214
2026-05-18,tokyo,502,2700185,10588,109,98,552289
2026-05-18,osaka,305,1530022,6565,59,22,266337
2026-05-18,nagoya,210,1112276,4384,45,19,226609
2026-05-18,fukuoka,154,778157,3507,30,12,139595
2026-05-25,tokyo,469,2517111,10599,96,91,441525
2026-05-25,osaka,307,1541893,6602,62,22,274918
2026-05-25,nagoya,210,1071494,4410,49,16,246981
2026-05-25,fukuoka,163,873372,3525,33,14,160266
2026-06-01,tokyo,431,2261207,10604,86,41,442792
2026-06-01,osaka,276,1482511,6642,58,28,278862
2026-06-01,nagoya,195,999244,4443,47,17,212653
2026-06-01,fukuoka,148,748735,3544,30,14,145446
2026-06-08,tokyo,463,2462203,10649,99,42,508893
2026-06-08,osaka,289,1518753,6672,65,25,290493
2026-06-08,nagoya,202,1032205,4473,49,19,225583
2026-06-08,fukuoka,155,836255,3560,35,13,168916
2026-06-15,tokyo,493,2569250,10706,110,36,576916
2026-06-15,osaka,297,1513375,6712,65,25,292206
2026-06-15,nagoya,197,1061042,4503,45,19,236539
2026-06-15,fukuoka,148,791123,3582,30,16,139448
2026-06-22,tokyo,485,2446139,10780,107,44,510321
2026-06-22,osaka,296,1481313,6752,66,23,326831
2026-06-22,nagoya,179,921898,4529,36,20,164871
2026-06-22,fukuoka,162,859054,3596,37,14,185066
2026-06-29,tokyo,448,2328038,10843,98,36,447621
2026-06-29,osaka,305,1636993,6795,63,28,316384
2026-06-29,nagoya,178,892191,4545,40,18,206718
2026-06-29,fukuoka,158,838293,3619,36,16,174230
2026-07-06,tokyo,496,2538298,10905,107,48,550663
2026-07-06,osaka,328,1741608,6830,64,26,288061
2026-07-06,nagoya,193,1023724,4567,45,18,223440
2026-07-06,fukuoka,154,799935,3639,34,13,168488
2026-07-13,tokyo,540,2843064,10964,119,38,519465
2026-07-13,osaka,311,1618983,6868,61,29,302274
2026-07-13,nagoya,193,992485,4594,44,18,219475
2026-07-13,fukuoka,159,844171,3660,38,13,191744
2026-07-20,tokyo,497,2581333,11045,117,38,509362
2026-07-20,osaka,298,1533909,6900,68,24,313723
2026-07-20,nagoya,207,1047664,4620,44,19,204155
2026-07-20,fukuoka,162,815592,3685,33,16,145719
2026-07-27,tokyo,538,2757110,11124,127,46,619620
2026-07-27,osaka,303,1543609,6944,65,28,292131
2026-07-27,nagoya,203,1049092,4645,45,19,218064
2026-07-27,fukuoka,159,839521,3702,32,14,167957
2026-08-03,tokyo,408,2095306,11205,79,39,392721
2026-08-03,osaka,256,1372186,6981,55,29,263679
2026-08-03,nagoya,177,947517,4671,35,19,167993
2026-08-03,fukuoka,145,750745,3720,33,14,166770
2026-08-10,tokyo,423,2208535,11245,96,49,466817
2026-08-10,osaka,267,1441709,7007,65,30,311401
2026-08-10,nagoya,185,967796,4687,44,20,217113
2026-08-10,fukuoka,146,767121,3739,31,12,152916
2026-08-17,tokyo,444,2292829,11292,107,42,466211
2026-08-17,osaka,261,1365363,7042,51,28,225737
2026-08-17,nagoya,185,962790,4711,44,17,211825
2026-08-17,fukuoka,139,738159,3758,32,14,167991
2026-08-24,tokyo,429,2176350,11357,95,45,498066
2026-08-24,osaka,281,1480952,7065,61,25,311838
2026-08-24,nagoya,186,954455,4738,41,18,187135
2026-08-24,fukuoka,142,714944,3776,27,14,131973
